ds,Actual_Sales,yhat,yhat_lower,yhat_upper,Category_Sales
2015-01-31,14205.707,14300.78862985961,5828.228520980526,24265.59816114845,14205.707
2015-02-28,4519.892,2292.490775423732,-6833.573874561717,11582.838842305086,4519.892
2015-03-31,55205.797,52016.92102476445,42473.2512682465,61300.15674486109,55205.797
2015-04-30,27906.855,21123.413134422197,11791.53017495855,30035.599896221807,27906.855000000003
2015-05-31,23644.303,22726.49778132119,13544.797542240429,31801.553271310862,23644.303
2015-06-30,34322.9356,29917.67553586536,20627.387629264093,39056.53916399991,34322.9356
2015-07-31,33781.543,25841.09085479504,16567.663505843222,35462.06617925934,33781.543
2015-08-31,27117.5365,24904.30848068929,15612.83675044692,34164.04644300712,27117.536500000002
2015-09-30,81623.5268,70749.55291182952,61304.63987494151,80249.30519925727,81623.5268
2015-10-31,31453.393,38069.69156726069,28526.18768241076,46292.38680863922,31453.393
2015-11-30,77907.66070000001,80843.73659168798,71534.90231329242,90527.70014250767,77907.66070000001
2015-12-31,68167.0585,63393.26891224875,54014.32361587654,72114.25176533445,68167.0585
2016-01-31,18066.9576,19349.24544069881,9897.278568487169,28588.99081048064,18066.9576
2016-02-29,11951.411,14205.699881281456,4659.836279284583,23819.615220697026,11951.411
2016-03-31,32339.3184,33166.00793047612,24399.54336164257,43271.34986198383,32339.318399999996
2016-04-30,34154.4685,32995.513958417134,24044.55299627716,42493.00489026989,34154.4685
2016-05-31,29959.5305,40181.72931145976,30111.7984485479,49255.01907670009,29959.5305
2016-06-30,23599.374,28602.332694413228,19937.583732984476,38115.41378443906,23599.374
2016-07-31,28608.259000000002,32163.019802582618,23392.177363400035,41391.8848530971,28608.259000000002
2016-08-31,36818.3422,38791.84112838219,29069.93367380736,47783.27598484594,36818.3422
2016-09-30,63133.606,63984.03471486784,54851.84840433535,72717.54279843671,63133.606
2016-10-31,31011.7375,46040.10639271556,36972.434359038525,55862.43287526772,31011.7375
2016-11-30,75249.3995,78370.90457608564,70305.15089067424,87491.1251601045,75249.3995
2016-12-31,74543.6012,81357.47367352237,72128.3972147013,90812.2116361121,74543.6012
2017-01-31,18542.490999999998,26112.348490041328,16908.6605935923,35260.277055798855,18542.491
2017-02-28,22978.815000000002,18207.642037668626,9410.384819274645,27267.893102985545,22978.815000000002
2017-03-31,51165.059,47851.89423806826,39388.27473600337,57272.87519628344,51165.059
2017-04-30,38679.767,37865.74867961921,28425.40741532436,47869.23315013757,38679.767
2017-05-31,56656.908,43316.655064458944,34220.85975175604,52559.550691746525,56656.907999999996
2017-06-30,39724.486,38245.53978431165,28833.96866500216,47159.22427201551,39724.486
2017-07-31,38320.783,39624.274455826206,30386.78554794672,48635.94370799437,38320.783
2017-08-31,30542.2003,43931.24793190014,35151.83292192055,53122.18197951863,30542.2003
2017-09-30,69193.3909,76334.69566710925,67138.07830818031,85898.58752113092,69193.3909
2017-10-31,59583.033,53810.17012704137,44751.43042859536,62905.58496803233,59583.032999999996
2017-11-30,79066.4958,89780.8648757205,81069.20068379579,99521.84449900808,79066.4958
2017-12-31,95739.121,86035.93550014282,76223.0684241184,95365.52585598324,95739.121
2018-01-31,43476.474,34521.34167876723,25194.419018303197,43589.92373541511,43476.474
2018-02-28,19920.9974,24656.677810400117,15116.234366972194,34117.26495860131,19920.9974
2018-03-31,58863.4128,64561.3125196299,55378.91224349381,73416.92900595948,58863.412800000006
2018-04-30,35541.9101,44333.47065376204,35182.47201854379,53569.17521635303,35541.9101
2018-05-31,43825.9822,47925.11863186167,37916.71883790177,57053.871150889136,43825.9822
2018-06-30,48190.7277,49114.910879381394,40384.88186147674,58582.5117668445,48190.7277
2018-07-31,44825.104,47949.46049811096,38500.92438157947,57376.2309582886,44825.104
2018-08-31,62837.848,49735.77201314491,40160.66422842398,59136.81711690269,62837.848
2018-09-30,86152.888,89026.81994901525,79735.29144512617,98391.019536568,86152.888
2018-10-31,77448.1312,61590.52389840864,52739.86508435952,71553.73545833373,77448.1312
2018-11-30,117938.155,101136.3369647183,91708.72266735378,110106.71674625008,117938.155
2018-12-31,83030.3888,90673.80060619164,81129.793325191,99423.267200897,83030.3888
2019-01-31,,42990.53220212094,33648.302536470765,52490.49379188716,
2019-02-28,,31248.15992200324,22535.823215536635,40770.4885725662,
2019-03-31,,81267.00777220097,72062.68327376938,91018.1449974206,
2019-04-30,,50658.420140943526,41837.99115199589,59825.07652399008,
2019-05-31,,52555.922387083134,43301.95077849859,61577.85726364636,
2019-06-30,,60032.02039860888,51346.70067430063,69247.14738753784,
2019-07-31,,56249.85331643561,46955.71377712135,65354.95290305211,
2019-08-31,,55607.48854203839,46503.35651168149,64496.8568301596,
2019-09-30,,101737.65323240128,92420.31799221264,111307.80891539271,
2019-10-31,,69352.20948910067,59998.194124793015,79349.044466992,
2019-11-30,,112411.17477061696,103089.40394464262,121251.39621374218,
2019-12-31,,95255.12468880048,85865.52748618739,105368.50830084636,
