ds,yhat,yhat_lower,yhat_upper
2015-01-31,14300.78862985961,5828.228520980526,24265.59816114845
2015-02-28,2292.490775423732,-6833.573874561717,11582.838842305086
2015-03-31,52016.921024764444,42473.2512682465,61300.15674486109
2015-04-30,21123.413134422193,11791.53017495855,30035.599896221807
2015-05-31,22726.49778132119,13544.797542240427,31801.553271310866
2015-06-30,29917.675535865357,20627.387629264093,39056.53916399991
2015-07-31,25841.090854795042,16567.663505843222,35462.06617925934
2015-08-31,24904.308480689295,15612.836750446919,34164.04644300712
2015-09-30,70749.55291182952,61304.63987494151,80249.30519925727
2015-10-31,38069.69156726069,28526.18768241076,46292.38680863922
2015-11-30,80843.73659168798,71534.90231329242,90527.70014250769
2015-12-31,63393.26891224875,54014.32361587654,72114.25176533445
2016-01-31,19349.245440698814,9897.278568487167,28588.990810480638
2016-02-29,14205.699881281456,4659.836279284583,23819.615220697026
2016-03-31,33166.00793047612,24399.54336164257,43271.34986198383
2016-04-30,32995.513958417134,24044.552996277158,42493.00489026989
2016-05-31,40181.729311459756,30111.7984485479,49255.01907670009
2016-06-30,28602.332694413228,19937.583732984473,38115.413784439064
2016-07-31,32163.019802582618,23392.177363400035,41391.8848530971
2016-08-31,38791.84112838219,29069.933673807358,47783.27598484594
2016-09-30,63984.03471486784,54851.848404335346,72717.54279843671
2016-10-31,46040.10639271556,36972.434359038525,55862.43287526772
2016-11-30,78370.90457608564,70305.15089067424,87491.1251601045
2016-12-31,81357.47367352237,72128.3972147013,90812.2116361121
2017-01-31,26112.348490041328,16908.6605935923,35260.277055798855
2017-02-28,18207.642037668626,9410.384819274645,27267.893102985545
2017-03-31,47851.894238068264,39388.27473600337,57272.875196283436
2017-04-30,37865.74867961921,28425.407415324356,47869.23315013757
2017-05-31,43316.655064458944,34220.85975175604,52559.550691746525
2017-06-30,38245.53978431165,28833.96866500216,47159.22427201551
2017-07-31,39624.274455826206,30386.78554794672,48635.94370799437
2017-08-31,43931.24793190014,35151.83292192055,53122.18197951863
2017-09-30,76334.69566710925,67138.07830818031,85898.58752113092
2017-10-31,53810.17012704137,44751.43042859536,62905.58496803233
2017-11-30,89780.8648757205,81069.20068379579,99521.84449900808
2017-12-31,86035.93550014282,76223.0684241184,95365.52585598324
2018-01-31,34521.34167876723,25194.419018303193,43589.92373541511
2018-02-28,24656.677810400113,15116.234366972194,34117.26495860131
2018-03-31,64561.3125196299,55378.91224349381,73416.92900595948
2018-04-30,44333.47065376204,35182.47201854379,53569.17521635303
2018-05-31,47925.11863186167,37916.71883790177,57053.871150889136
2018-06-30,49114.910879381394,40384.88186147674,58582.5117668445
2018-07-31,47949.46049811096,38500.92438157947,57376.2309582886
2018-08-31,49735.77201314491,40160.66422842398,59136.81711690269
2018-09-30,89026.81994901525,79735.29144512617,98391.01953656801
2018-10-31,61590.52389840864,52739.86508435952,71553.73545833373
2018-11-30,101136.3369647183,91708.72266735378,110106.71674625007
2018-12-31,90673.80060619165,81129.793325191,99423.267200897
2019-01-31,42990.53220212094,33648.302536470765,52490.49379188716
2019-02-28,31248.15992200324,22535.823215536635,40770.488572566195
2019-03-31,81267.00777220097,72062.68327376938,91018.14499742059
2019-04-30,50658.420140943526,41837.991151995884,59825.07652399008
2019-05-31,52555.922387083134,43301.95077849859,61577.85726364636
2019-06-30,60032.02039860888,51346.70067430063,69247.14738753784
2019-07-31,56249.85331643561,46955.71377712135,65354.95290305211
2019-08-31,55607.48854203839,46503.35651168149,64496.8568301596
2019-09-30,101737.65323240127,92420.31799221264,111307.80891539271
2019-10-31,69352.20948910067,59998.194124793015,79349.044466992
2019-11-30,112411.17477061696,103089.40394464262,121251.39621374218
2019-12-31,95255.12468880047,85865.52748618739,105368.50830084637
